image_path,label,labels_encoded,split
Healthy/Healthy634.jpg,Healthy,4,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR93.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Myopia/Myopia298.jpg,Myopia,6,train
Disc Edema/Disc Edema65.jpg,Disc Edema,2,train
Glaucoma/Glaucoma322.jpg,Glaucoma,3,train
Glaucoma/Glaucoma74.jpg,Glaucoma,3,train
Myopia/Myopia437.jpg,Myopia,6,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR83.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Diabetic Retinopathy/DR1105.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar54.jpg,Macular Scar,5,train
Myopia/Myopia272.jpg,Myopia,6,train
Healthy/Healthy500.jpg,Healthy,4,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR36.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Diabetic Retinopathy/DR689.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1412.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR434.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy137.jpg,Healthy,4,train
Glaucoma/Glaucoma430.jpg,Glaucoma,3,train
Myopia/Myopia359.jpg,Myopia,6,train
Retinal Detachment/Retinal Detachment72.jpg,Retinal Detachment,7,train
Diabetic Retinopathy/DR66.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1217.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar340.jpg,Macular Scar,5,train
Glaucoma/Glaucoma810.jpg,Glaucoma,3,train
Glaucoma/Glaucoma775.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR238.jpg,Diabetic Retinopathy,1,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR8.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Macular Scar/Macular Scar305.jpg,Macular Scar,5,train
Disc Edema/Disc Edema21.jpg,Disc Edema,2,train
Macular Scar/Macular Scar362.jpg,Macular Scar,5,train
Glaucoma/Glaucoma60.jpg,Glaucoma,3,train
Glaucoma/Glaucoma994.jpg,Glaucoma,3,train
Glaucoma/Glaucoma1326.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1337.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy193.jpg,Healthy,4,train
Healthy/Healthy773.jpg,Healthy,4,train
Glaucoma/Glaucoma340.jpg,Glaucoma,3,train
Glaucoma/Glaucoma64.jpg,Glaucoma,3,train
Glaucoma/Glaucoma164.jpg,Glaucoma,3,train
Myopia/Myopia350.jpg,Myopia,6,train
Glaucoma/Glaucoma59.jpg,Glaucoma,3,train
Healthy/Healthy542.jpg,Healthy,4,train
Diabetic Retinopathy/DR584.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma873.jpg,Glaucoma,3,train
Glaucoma/Glaucoma833.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR177.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR889.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR901.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma830.jpg,Glaucoma,3,train
Healthy/Healthy37.jpg,Healthy,4,train
Diabetic Retinopathy/DR1064.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma932.jpg,Glaucoma,3,train
Myopia/Myopia208.jpg,Myopia,6,train
Myopia/Myopia154.jpg,Myopia,6,train
Glaucoma/Glaucoma604.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR494.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1518.jpg,Diabetic Retinopathy,1,train
Myopia/Myopia345.jpg,Myopia,6,train
Retinal Detachment/Retinal Detachment118.jpg,Retinal Detachment,7,train
Healthy/Healthy588.jpg,Healthy,4,train
Healthy/Healthy85.jpg,Healthy,4,train
Diabetic Retinopathy/DR1210.jpg,Diabetic Retinopathy,1,train
Macular Scar/Macular Scar34.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR409.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR356.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR338.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1107.jpg,Diabetic Retinopathy,1,train
Myopia/Myopia491.jpg,Myopia,6,train
Disc Edema/Disc Edema84.jpg,Disc Edema,2,train
Macular Scar/Macular Scar143.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR1069.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1388.jpg,Diabetic Retinopathy,1,train
Myopia/Myopia223.jpg,Myopia,6,train
Healthy/Healthy544.jpg,Healthy,4,train
Healthy/Healthy751.jpg,Healthy,4,train
Diabetic Retinopathy/DR145.jpg,Diabetic Retinopathy,1,train
Myopia/Myopia412.jpg,Myopia,6,train
Glaucoma/Glaucoma768.jpg,Glaucoma,3,train
Macular Scar/Macular Scar13.jpg,Macular Scar,5,train
Glaucoma/Glaucoma218.jpg,Glaucoma,3,train
Myopia/Myopia200.jpg,Myopia,6,train
Diabetic Retinopathy/DR1006.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma778.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1406.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma1125.jpg,Glaucoma,3,train
Myopia/Myopia284.jpg,Myopia,6,train
Healthy/Healthy440.jpg,Healthy,4,train
Healthy/Healthy681.jpg,Healthy,4,train
Myopia/Myopia355.jpg,Myopia,6,train
Healthy/Healthy266.jpg,Healthy,4,train
Macular Scar/Macular Scar324.jpg,Macular Scar,5,train
Glaucoma/Glaucoma38.jpg,Glaucoma,3,train
Macular Scar/Macular Scar153.jpg,Macular Scar,5,train
Healthy/Healthy506.jpg,Healthy,4,train
Healthy/Healthy333.jpg,Healthy,4,train
Diabetic Retinopathy/DR386.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma273.jpg,Glaucoma,3,train
Disc Edema/Disc Edema27.jpg,Disc Edema,2,train
Macular Scar/Macular Scar390.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR1195.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR896.jpg,Diabetic Retinopathy,1,train
Retinal Detachment/Retinal Detachment109.jpg,Retinal Detachment,7,train
Diabetic Retinopathy/DR1207.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR366.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma379.jpg,Glaucoma,3,train
Macular Scar/Macular Scar199.jpg,Macular Scar,5,train
Diabetic Retinopathy/DR932.jpg,Diabetic Retinopathy,1,train
Central Serous Chorioretinopathy [Color Fundus]/CSCR88.jpg,Central Serous Chorioretinopathy [Color Fundus],0,train
Glaucoma/Glaucoma1257.jpg,Glaucoma,3,train
Healthy/Healthy306.jpg,Healthy,4,train
Retinal Detachment/Retinal Detachment1.jpg,Retinal Detachment,7,train
Diabetic Retinopathy/DR230.jpg,Diabetic Retinopathy,1,train
Retinitis Pigmentosa/Retinitis Pigmentosa61.jpg,Retinitis Pigmentosa,8,train
Diabetic Retinopathy/DR918.jpg,Diabetic Retinopathy,1,train
Diabetic Retinopathy/DR1385.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma641.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1346.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma565.jpg,Glaucoma,3,train
Macular Scar/Macular Scar169.jpg,Macular Scar,5,train
Healthy/Healthy315.jpg,Healthy,4,train
Healthy/Healthy533.jpg,Healthy,4,train
Diabetic Retinopathy/DR30.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy286.jpg,Healthy,4,train
Myopia/Myopia240.jpg,Myopia,6,train
Glaucoma/Glaucoma772.jpg,Glaucoma,3,train
Diabetic Retinopathy/DR1183.jpg,Diabetic Retinopathy,1,train
Healthy/Healthy758.jpg,Healthy,4,train
Diabetic Retinopathy/DR221.jpg,Diabetic Retinopathy,1,train
Glaucoma/Glaucoma385.jpg,Glaucoma,3,train
